,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,GPT-3 term + pill in Google
0,xanor,alprazolam,alprazolam,True,True,True
1,frontal,alprazolam,False,False,False,False
2,alprozalam,alprazolam,alprazolam,True,True,True
3,aplrazolam,alprazolam,alprazolam,True,False,True
4,alpraz,alprazolam,False,False,True,True
5,ativan,alprazolam,lorazepam,False,False,False
6,xanax,alprazolam,alprazolam,True,True,True
7,xanax,alprazolam,alprazolam,True,True,True
8,alp,alprazolam,False,False,False,True
9,alprazolane,alprazolam,False,False,True,True
10,alprazolan,alprazolam,alprazolam,True,True,True
11,alprazolom,alprazolam,alprazolam,True,True,True
12,alprazolam,alprazolam,alprazolam,True,True,True
13,xanax,alprazolam,alprazolam,True,True,True
14,xanax,alprazolam,alprazolam,True,True,True
15,alpraz,alprazolam,False,False,True,True
16,alprazolam,alprazolam,alprazolam,True,True,True
17,xanor,alprazolam,alprazolam,True,True,True
18,zax,alprazolam,False,False,False,False
19,xanax,alprazolam,alprazolam,True,True,True
20,alpraz,alprazolam,False,False,True,True
21,xanax,alprazolam,alprazolam,True,True,True
22,alpraz,alprazolam,False,False,True,True
23,alprazolam,alprazolam,alprazolam,True,True,True
24,xanaxx,alprazolam,False,False,True,True
25,niravam,alprazolam,alprazolam,True,True,True
26,alprazolom,alprazolam,alprazolam,True,True,True
27,alpraz,alprazolam,False,False,True,True
28,alprozolam,alprazolam,alprazolam,True,True,True
29,alpraz,alprazolam,False,False,True,True
30,alprazolam,alprazolam,alprazolam,True,True,True
31,xanax,alprazolam,alprazolam,True,True,True
32,xanax,alprazolam,alprazolam,True,True,True
33,alpraz,alprazolam,False,False,True,True
34,azipro,alprazolam,False,False,False,False
35,alprazolam,alprazolam,alprazolam,True,True,True
36,alprazolum,alprazolam,False,False,True,True
37,alprazolan,alprazolam,alprazolam,True,True,True
38,alprazolam,alprazolam,alprazolam,True,True,True
39,alprazolam,alprazolam,alprazolam,True,True,True
40,alzolam,alprazolam,False,False,True,True
41,alpraz,alprazolam,False,False,True,True
42,alp,alprazolam,False,False,False,True
43,alprazolane,alprazolam,False,False,True,True
44,alprazolamum,alprazolam,False,False,True,True
45,xanax,alprazolam,alprazolam,True,True,True
46,ativan,alprazolam,lorazepam,False,False,False
47,alpraz,alprazolam,False,False,True,True
48,alpram,alprazolam,False,False,True,True
49,alprax,alprazolam,alprazolam,False,True,True
50,zanapam,alprazolam,False,False,True,True
51,xanax,alprazolam,alprazolam,True,True,True
52,alprazolan,alprazolam,alprazolam,True,True,True
53,alprazolamo,alprazolam,False,False,True,True
54,tranxene,alprazolam,clorazepate,False,False,False
55,ativan,alprazolam,lorazepam,False,False,False
56,xanax,alprazolam,alprazolam,True,True,True
57,alpraz,alprazolam,False,False,True,True
58,alprazolan,alprazolam,alprazolam,True,True,True
59,alprazolom,alprazolam,alprazolam,True,True,True
60,alp,alprazolam,False,False,False,True
61,triaz,alprazolam,salmeterol,False,False,False
62,aylorazam,alprazolam,False,False,Error,Error
63,zoloft,alprazolam,sertraline,False,False,False
64,aplrazolam,alprazolam,alprazolam,True,False,True
65,zanax,alprazolam,alprazolam,True,True,True
66,alpraz,alprazolam,False,False,True,True
67,alprazol,alprazolam,False,False,True,True
68,xanax,alprazolam,alprazolam,True,True,True
69,xanor,alprazolam,alprazolam,True,True,True
70,alprax,alprazolam,alprazolam,False,True,True
71,ativan,alprazolam,lorazepam,False,False,False
72,nerfazodone,alprazolam,False,False,False,False
73,alpraz,alprazolam,False,False,True,True
74,niravam,alprazolam,alprazolam,True,True,True
75,ativan,alprazolam,lorazepam,False,False,False
76,bars,alprazolam,False,False,False,True
77,alprazolom,alprazolam,alprazolam,True,True,True
78,xanor,alprazolam,alprazolam,True,True,True
79,alpraz,alprazolam,False,False,True,True
80,alzolam,alprazolam,False,False,True,True
81,alphapres,alprazolam,False,False,False,False
82,valium,alprazolam,diazepam,False,False,False
83,lorazepam,alprazolam,lorazepam,False,False,False
84,alprazolan,alprazolam,alprazolam,True,True,True
85,alprazolim,alprazolam,False,False,True,True
86,aplrazolam,alprazolam,alprazolam,True,False,True
87,xanex,alprazolam,alprazolam,True,False,True
88,xanax,alprazolam,alprazolam,True,True,True
89,xanax,alprazolam,alprazolam,True,True,True
90,alprazolsm,alprazolam,False,False,True,True
91,alprazolum,alprazolam,False,False,True,True
92,alpraz,alprazolam,False,False,True,True
93,xanax,alprazolam,alprazolam,True,True,True
94,alprazolan,alprazolam,alprazolam,True,True,True
95,alprazolame,alprazolam,False,False,True,True
96,xanax,alprazolam,alprazolam,True,True,True
97,xanax,alprazolam,alprazolam,True,True,True
98,alpraz,alprazolam,False,False,True,True
99,xanax,alprazolam,alprazolam,True,True,True
100,triazolam,alprazolam,triazolam,False,False,False
101,lorazepam,alprazolam,lorazepam,False,False,False
102,xanax,alprazolam,alprazolam,True,True,True
103,atarax,alprazolam,hydroxyzine,False,Error,True
104,tranxene,alprazolam,clorazepate,False,False,False
105,alpraz,alprazolam,False,False,True,True
106,alzolam,alprazolam,False,False,True,True
107,xanor,alprazolam,alprazolam,True,True,True
108,alpraz,alprazolam,False,False,True,True
109,xanax,alprazolam,alprazolam,True,True,True
110,zanex,alprazolam,False,False,False,True
111,niravam,alprazolam,alprazolam,True,True,True
112,ativan,alprazolam,lorazepam,False,False,False
113,xanax,alprazolam,alprazolam,True,True,True
114,xanax,alprazolam,alprazolam,True,True,True
115,alpraz,alprazolam,False,False,True,True
116,ativan,alprazolam,lorazepam,False,False,False
117,lorazepam,alprazolam,lorazepam,False,False,False
118,ativan,alprazolam,lorazepam,False,False,False
119,alpraz,alprazolam,False,False,True,True
120,xanax,alprazolam,alprazolam,True,True,True
121,alpraz,alprazolam,False,False,True,True
122,alzolam,alprazolam,False,False,True,True
123,alazopram,alprazolam,False,False,True,True
124,alprax,alprazolam,alprazolam,False,True,True
125,alpraz,alprazolam,False,False,True,True
126,alprazolam,alprazolam,alprazolam,True,True,True
127,tofranil,alprazolam,imipramine,False,False,False
128,azepines,alprazolam,False,False,False,False
129,alprazolamide,alprazolam,False,False,True,True
130,alprazolamides,alprazolam,False,False,True,True
131,xanax,alprazolam,alprazolam,True,True,True
132,alpraz,alprazolam,False,False,True,True
133,alp,alprazolam,False,False,False,True
134,irazepam,alprazolam,False,False,False,Error
135,ativan,alprazolam,lorazepam,False,False,False
136,alprax,alprazolam,alprazolam,False,True,True
137,xanax,alprazolam,alprazolam,True,True,True
138,xanax_bars,alprazolam,False,True,True,True
139,xanor,alprazolam,alprazolam,True,True,True
140,alpraz,alprazolam,False,False,True,True
141,frontal,alprazolam,False,False,False,False
142,Helex,alprazolam,azelaic_acid,False,False,True
143,alpraz,alprazolam,False,False,True,True
144,alprazolam,alprazolam,alprazolam,True,True,True
145,xanor,alprazolam,alprazolam,True,True,True
146,frontin,alprazolam,False,False,False,True
147,ativan,alprazolam,lorazepam,False,False,False
148,alprazolan,alprazolam,alprazolam,True,True,True
149,alprazolane,alprazolam,False,False,True,True
150,alprazolan,alprazolam,alprazolam,True,True,True
151,alprazolima,alprazolam,False,False,Error,Error
