,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,GPT-3 term + pill in Google
0,ativan,alprazolam,lorazepam,False,False,False
1,azor,alprazolam,olmesartan,False,False,False
2,rontal,alprazolam,False,False,False,False
3,xanax,alprazolam,alprazolam,True,True,True
4,bars,alprazolam,False,False,False,True
5,yellow,alprazolam,orange,False,False,False
6,xanax,alprazolam,alprazolam,True,True,True
7,alazor,alprazolam,False,False,False,False
8,alpam,alprazolam,False,False,False,False
9,alprozal,alprazolam,False,False,True,True
10,xanax,alprazolam,alprazolam,True,True,True
11,ativan,alprazolam,lorazepam,False,False,False
12,sitalopram,alprazolam,False,False,False,False
13,eszopiclone,alprazolam,eszopiclone,False,False,False
14,casazepam,alprazolam,False,False,Error,Error
15,neozepam,alprazolam,False,False,False,False
16,xanaxx,alprazolam,False,False,True,True
17,zanax,alprazolam,alprazolam,True,True,True
18,xanax,alprazolam,alprazolam,True,True,True
19,ativan,alprazolam,lorazepam,False,False,False
20,ativan,alprazolam,lorazepam,False,False,False
21,frontal,alprazolam,False,False,False,False
22,niravam,alprazolam,alprazolam,True,True,True
23,xanax,alprazolam,alprazolam,True,True,True
24,alprazolatra,alprazolam,False,False,Error,Error
25,alprazolan,alprazolam,alprazolam,True,True,True
26,alazolam,alprazolam,False,False,True,True
27,alpraz,alprazolam,False,False,True,True
28,ativan,alprazolam,lorazepam,False,False,False
29,xanax,alprazolam,alprazolam,True,True,True
30,ativan,alprazolam,lorazepam,False,False,False
31,clonazepam,alprazolam,clonazepam,False,False,False
32,diazepam,alprazolam,diazepam,False,False,False
33,xan_bars,alprazolam,False,True,False,True
34,xan_or,alprazolam,False,True,True,True
35,xanax,alprazolam,alprazolam,True,True,True
36,alpraz,alprazolam,False,False,True,True
37,alpram,alprazolam,False,False,True,True
38,bars,alprazolam,False,False,False,True
39,benzos,alprazolam,False,False,False,True
40,alyclam,alprazolam,False,False,False,Error
41,azopan,alprazolam,False,False,False,False
42,xanax,alprazolam,alprazolam,True,True,True
43,alprazolene,alprazolam,False,False,Error,Error
44,alzolam,alprazolam,False,False,True,True
45,alpranax,alprazolam,False,False,True,True
46,dalmane,alprazolam,flurazepam,False,False,False
47,xanax,alprazolam,alprazolam,True,True,True
48,alpraz,alprazolam,False,False,True,True
49,xanax,alprazolam,alprazolam,True,True,True
50,alpron,alprazolam,False,False,False,False
51,cafergot,alprazolam,ergotamine,False,False,False
52,niravam,alprazolam,alprazolam,True,True,True
53,ativan,alprazolam,lorazepam,False,False,False
54,xanax,alprazolam,alprazolam,True,True,True
55,xanor,alprazolam,alprazolam,True,True,True
56,zanaflex,alprazolam,tizanidine,False,False,False
57,alprazolom,alprazolam,alprazolam,True,True,True
58,alprazolane,alprazolam,False,False,True,True
59,alprazolans,alprazolam,False,False,True,True
60,alprazolan,alprazolam,alprazolam,True,True,True
61,alprazolane,alprazolam,False,False,True,True
62,ungans,alprazolam,False,False,False,False
63,alpralozam,alprazolam,alprazolam,True,False,True
64,alpraz,alprazolam,False,False,True,True
65,azipro,alprazolam,False,False,False,False
66,alpraz,alprazolam,False,False,True,True
67,xanax,alprazolam,alprazolam,True,True,True
68,gador,alprazolam,False,False,False,True
69,xanax,alprazolam,alprazolam,True,True,True
70,alpra,alprazolam,estradiol,False,True,True
71,alprozolam,alprazolam,alprazolam,True,True,True
72,xanex,alprazolam,alprazolam,True,False,True
73,xanax,alprazolam,alprazolam,True,True,True
74,paraffin,alprazolam,False,False,False,False
75,alpraz,alprazolam,False,False,True,True
76,alprazolene,alprazolam,False,False,Error,Error
77,alprazolume,alprazolam,False,False,Error,Error
78,frontin,alprazolam,False,False,False,True
79,casamancia,alprazolam,False,False,False,False
80,alprozolam,alprazolam,alprazolam,True,True,True
81,xanor,alprazolam,alprazolam,True,True,True
82,alpam,alprazolam,False,False,False,False
83,alpron,alprazolam,False,False,False,False
84,xanax,alprazolam,alprazolam,True,True,True
85,alzam,alprazolam,False,False,True,True
86,xanax,alprazolam,alprazolam,True,True,True
87,xanax,alprazolam,alprazolam,True,True,True
88,xanax,alprazolam,alprazolam,True,True,True
89,alazopram,alprazolam,False,False,True,True
90,alprazolamon,alprazolam,False,False,True,True
91,alzocin,alprazolam,False,False,False,False
92,xanax,alprazolam,alprazolam,True,True,True
93,alpraz,alprazolam,False,False,True,True
94,alpraz,alprazolam,False,False,True,True
95,alzolam,alprazolam,False,False,True,True
96,alprozolam,alprazolam,alprazolam,True,True,True
97,xanax,alprazolam,alprazolam,True,True,True
98,arazolam,alprazolam,False,False,True,True
99,xanax,alprazolam,alprazolam,True,True,True
100,alprazolan,alprazolam,alprazolam,True,True,True
101,alprazolim,alprazolam,False,False,True,True
102,alpraz,alprazolam,False,False,True,True
103,alprazolam,alprazolam,alprazolam,True,True,True
104,xanax,alprazolam,alprazolam,True,True,True
105,alpraz,alprazolam,False,False,True,True
106,xanor,alprazolam,alprazolam,True,True,True
107,aloro,alprazolam,False,False,False,False
108,zanax,alprazolam,alprazolam,True,True,True
109,xanor,alprazolam,alprazolam,True,True,True
110,epitol,alprazolam,carbamazepine,False,False,False
111,atarax,alprazolam,hydroxyzine,False,Error,True
112,benzodiazepine,alprazolam,benzodiazepine,False,True,True
113,alprazolan,alprazolam,alprazolam,True,True,True
114,alprazolane,alprazolam,False,False,True,True
115,alpraz,alprazolam,False,False,True,True
116,azipam,alprazolam,False,False,False,False
117,xanax,alprazolam,alprazolam,True,True,True
118,paxil,alprazolam,paroxetine,False,False,False
119,ativan,alprazolam,lorazepam,False,False,False
120,xanax,alprazolam,alprazolam,True,True,True
