,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,GPT-3 term + pill in Google
0,zanapam,alprazolam,False,False,True,True
1,trankimazin,alprazolam,False,False,True,True
2,frontin,alprazolam,False,False,False,True
3,ativan,alprazolam,lorazepam,False,False,False
4,klonopin,alprazolam,clonazepam,False,True,False
5,valium,alprazolam,diazepam,False,False,False
6,librium,alprazolam,chlordiazepoxide,False,False,False
7,alprazlam,alprazolam,False,False,True,True
8,xanax,alprazolam,alprazolam,True,True,True
9,alprazoles,alprazolam,False,False,True,True
10,alprazolone,alprazolam,False,False,True,True
11,alprazolones,alprazolam,False,False,True,True
12,xanx,alprazolam,alprazolam,True,False,True
13,zanex,alprazolam,False,False,False,True
14,xanax,alprazolam,alprazolam,True,True,True
15,alprazolamum,alprazolam,False,False,True,True
16,alprazolans,alprazolam,False,False,True,True
17,alprazolams,alprazolam,alprazolam,True,True,True
18,alprazolami,alprazolam,False,False,True,True
19,alprazolame,alprazolam,False,False,True,True
20,alprazolamides,alprazolam,False,False,True,True
21,alprazolamidines,alprazolam,False,False,Error,Error
22,a-pra-zole-am,alprazolam,False,False,False,False
23,al-praz-o-lam,alprazolam,False,False,True,True
24,z-bars,alprazolam,False,False,True,True
25,blue_footballs,alprazolam,False,False,True,True
26,bars,alprazolam,False,False,False,True
27,z-bars,alprazolam,False,False,True,True
28,blue_footballs,alprazolam,False,False,True,True
29,bars,alprazolam,False,False,False,True
30,yellow_xanax,alprazolam,False,True,True,True
31,green_xanax,alprazolam,False,True,False,False
32,white_xanax,alprazolam,False,True,False,True
33,zanapam,alprazolam,False,False,True,True
34,alpam,alprazolam,False,False,False,False
35,alpraz,alprazolam,False,False,True,True
36,alprazolan,alprazolam,alprazolam,True,True,True
37,alprazolamum,alprazolam,False,False,True,True
38,alprazlam,alprazolam,False,False,True,True
39,alprazolan,alprazolam,alprazolam,True,True,True
40,alprazolane,alprazolam,False,False,True,True
41,alprazolamum,alprazolam,False,False,True,True
42,alprazolanum,alprazolam,False,False,True,True
43,zanapam,alprazolam,False,False,True,True
44,zoloft,alprazolam,sertraline,False,False,False
45,zanex,alprazolam,False,False,False,True
46,zanax,alprazolam,alprazolam,True,True,True
47,serenol,alprazolam,False,False,False,False
48,tranquinal,alprazolam,False,False,True,True
49,xanax,alprazolam,alprazolam,True,True,True
50,zoloft,alprazolam,sertraline,False,False,False
51,zanapam,alprazolam,False,False,True,True
52,zolam,alprazolam,False,False,True,True
53,zanex,alprazolam,False,False,False,True
54,zanax,alprazolam,alprazolam,True,True,True
55,xanax,alprazolam,alprazolam,True,True,True
56,ativan,alprazolam,lorazepam,False,False,False
57,xanax,alprazolam,alprazolam,True,True,True
58,alprazolan,alprazolam,alprazolam,True,True,True
59,alprazolane,alprazolam,False,False,True,True
60,alprazolamum,alprazolam,False,False,True,True
61,alprazolamx,alprazolam,False,False,True,True
62,zoloft,alprazolam,sertraline,False,False,False
63,paxil,alprazolam,paroxetine,False,False,False
64,prozac,alprazolam,fluoxetine,False,False,False
65,lexapro,alprazolam,escitalopram,False,False,False
66,celexa,alprazolam,citalopram,False,False,False
67,effexor,alprazolam,venlafaxine,False,False,False
68,cymbalta,alprazolam,duloxetine,False,False,False
69,zanax,alprazolam,alprazolam,True,True,True
70,alprazolan,alprazolam,alprazolam,True,True,True
71,alprazolame,alprazolam,False,False,True,True
72,alprazolan,alprazolam,alprazolam,True,True,True
73,alprazolans,alprazolam,False,False,True,True
74,alprazolum,alprazolam,False,False,True,True
75,xanax,alprazolam,alprazolam,True,True,True
76,alpraz,alprazolam,False,False,True,True
77,alp,alprazolam,False,False,False,True
78,xanax,alprazolam,alprazolam,True,True,True
79,alprazolom,alprazolam,alprazolam,True,True,True
80,alprazolame,alprazolam,False,False,True,True
81,alprazolamum,alprazolam,False,False,True,True
82,alprazolamir,alprazolam,False,False,True,True
83,alprazolami,alprazolam,False,False,True,True
84,alprazolamid,alprazolam,False,False,True,True
85,ativan,alprazolam,lorazepam,False,False,False
86,klonopin,alprazolam,clonazepam,False,True,False
87,valium,alprazolam,diazepam,False,False,False
88,lorazepam,alprazolam,lorazepam,False,False,False
89,zolpidem,alprazolam,zolpidem,False,False,False
90,eszopiclone,alprazolam,eszopiclone,False,False,False
91,xanies,alprazolam,False,False,True,True
92,xanaxes,alprazolam,alprazolam,True,True,True
93,bars,alprazolam,False,False,False,True
94,yellow_school_buses,alprazolam,False,False,False,False
95,white_girls,alprazolam,False,False,False,False
96,ativan,alprazolam,lorazepam,False,False,False
97,zanex,alprazolam,False,False,False,True
98,alprazolam,alprazolam,alprazolam,True,True,True
99,xanor,alprazolam,alprazolam,True,True,True
100,iprazolam,alprazolam,False,False,True,True
101,zolam,alprazolam,False,False,True,True
102,alp,alprazolam,False,False,False,True
103,alpraz,alprazolam,False,False,True,True
104,alprazol,alprazolam,False,False,True,True
105,xanax,alprazolam,alprazolam,True,True,True
106,xanax,alprazolam,alprazolam,True,True,True
107,zolpidem,alprazolam,zolpidem,False,False,False
108,alprazolan,alprazolam,alprazolam,True,True,True
109,alprazolame,alprazolam,False,False,True,True
110,alprazolami,alprazolam,False,False,True,True
111,alprazolamu,alprazolam,False,False,True,True
112,zanapam,alprazolam,False,False,True,True
113,zoloft,alprazolam,sertraline,False,False,False
114,xanax,alprazolam,alprazolam,True,True,True
115,xanor,alprazolam,alprazolam,True,True,True
116,frontal,alprazolam,False,False,False,False
117,aripiprazole,alprazolam,aripiprazole,False,False,False
118,zoloft,alprazolam,sertraline,False,False,False
119,prozac,alprazolam,fluoxetine,False,False,False
120,lexapro,alprazolam,escitalopram,False,False,False
121,paxil,alprazolam,paroxetine,False,False,False
122,sarafem,alprazolam,fluoxetine,False,False,False
123,cymbalta,alprazolam,duloxetine,False,False,False
124,effexor,alprazolam,venlafaxine,False,False,False
125,alprazolam,alprazolam,alprazolam,True,True,True
126,xanor,alprazolam,alprazolam,True,True,True
127,alpraz,alprazolam,False,False,True,True
128,alprax,alprazolam,alprazolam,False,True,True
129,alpram,alprazolam,False,False,True,True
130,alprazol,alprazolam,False,False,True,True
131,zanex,alprazolam,False,False,False,True
132,alprazolam,alprazolam,alprazolam,True,True,True
133,zanapam,alprazolam,False,False,True,True
134,neupax,alprazolam,False,False,True,True
135,alprazolam,alprazolam,alprazolam,True,True,True
136,alprazolamum,alprazolam,False,False,True,True
137,alprazolamx,alprazolam,False,False,True,True
138,zolofts,alprazolam,sertraline,False,False,False
139,xanbars,alprazolam,False,False,True,True
140,zoloft,alprazolam,sertraline,False,False,False
141,prozac,alprazolam,fluoxetine,False,False,False
142,paxil,alprazolam,paroxetine,False,False,False
143,lexapro,alprazolam,escitalopram,False,False,False
144,lorazepam,alprazolam,lorazepam,False,False,False
145,klonopin,alprazolam,clonazepam,False,True,False
146,valium,alprazolam,diazepam,False,False,False
147,alpraz,alprazolam,False,False,True,True
148,alprazol,alprazolam,False,False,True,True
149,zanex,alprazolam,False,False,False,True
150,alprazolamum,alprazolam,False,False,True,True
151,xanax,alprazolam,alprazolam,True,True,True
152,zoloft,alprazolam,sertraline,False,False,False
153,paxil,alprazolam,paroxetine,False,False,False
154,prozac,alprazolam,fluoxetine,False,False,False
155,lexapro,alprazolam,escitalopram,False,False,False
156,celexa,alprazolam,citalopram,False,False,False
157,effexor,alprazolam,venlafaxine,False,False,False
158,wellbutrin,alprazolam,bupropion,False,False,False
159,zanex,alprazolam,False,False,False,True
160,xanex,alprazolam,alprazolam,True,False,True
161,zanex,alprazolam,False,False,False,True
162,axan,alprazolam,False,False,False,True
163,anax,alprazolam,False,False,False,True
164,alprax,alprazolam,alprazolam,False,True,True
165,alzolam,alprazolam,False,False,True,True
166,alprozalam,alprazolam,alprazolam,True,True,True
