,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,GPT-3 term + pill in Google
0,alprozalam,alprazolam,alprazolam,True,True,True
1,aplax,alprazolam,False,False,False,True
2,aplraz,alprazolam,False,False,True,True
3,alafans,alprazolam,False,False,False,False
4,alfresco,alprazolam,False,False,False,False
5,lexaprom,alprazolam,False,False,False,False
6,trazodone,alprazolam,trazodone,False,False,False
7,neustrC,alprazolam,False,False,False,Error
8,iprana,alprazolam,False,False,Error,False
9,azolam,alprazolam,acetazolamide,False,True,True
10,calman,alprazolam,False,False,False,False
11,xanor,alprazolam,alprazolam,True,True,True
12,tranquir,alprazolam,False,False,False,False
13,xanomine,alprazolam,False,False,False,Error
14,zoloft,alprazolam,sertraline,False,False,False
15,alprazolan,alprazolam,alprazolam,True,True,True
16,alprazolim,alprazolam,False,False,True,True
17,zolpidem,alprazolam,zolpidem,False,False,False
18,eszopiclone,alprazolam,eszopiclone,False,False,False
19,zaleplon,alprazolam,zaleplon,False,False,False
20,ramelteon,alprazolam,ramelteon,False,False,False
21,trazodone,alprazolam,trazodone,False,False,False
22,alprazalam,alprazolam,alprazolam,True,True,True
23,tazolam,alprazolam,False,False,False,False
24,ativan,alprazolam,lorazepam,False,False,False
25,klonopin,alprazolam,clonazepam,False,True,False
26,valium,alprazolam,diazepam,False,False,False
27,xanor,alprazolam,alprazolam,True,True,True
28,frontin,alprazolam,False,False,False,True
29,australian_alprazolam,alprazolam,False,True,True,True
30,zanaplex,alprazolam,False,False,False,False
31,zolam,alprazolam,False,False,True,True
32,zols,alprazolam,False,False,False,False
33,lorazepam,alprazolam,lorazepam,False,False,False
34,ativan,alprazolam,lorazepam,False,False,False
35,flumazenil,alprazolam,flumazenil,False,False,False
36,mexitil,alprazolam,False,False,False,False
37,oxazepam,alprazolam,oxazepam,False,False,False
38,temazepam,alprazolam,temazepam,False,False,False
39,triazolam,alprazolam,triazolam,False,False,False
40,lorazepam,alprazolam,lorazepam,False,False,False
41,clonazepam,alprazolam,clonazepam,False,False,False
42,zoloft,alprazolam,sertraline,False,False,False
