,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,GPT-3 term + pill in Google
0,h,heroin,False,False,Error,False
1,smack,heroin,False,False,False,True
2,herion,heroin,heroin,True,False,True
3,heron,heroin,False,False,False,False
4,herione,heroin,False,False,True,True
5,Browne's_mixture,heroin,False,False,False,False
6,column,heroin,False,False,False,False
7,diamorphine,heroin,heroin,True,True,True
8,hard_stuff,heroin,False,False,False,False
9,horse,heroin,False,False,False,False
10,junk,heroin,False,False,False,False
11,skag,heroin,False,False,False,True
12,smack,heroin,False,False,False,True
13,smack,heroin,False,False,False,True
14,brown_sugar,heroin,False,False,False,False
15,China_white,heroin,filgrastim,False,True,True
16,Mexican_brown,heroin,False,False,False,True
17,black_tar,heroin,False,False,True,True
18,hreoin,heroin,False,False,False,True
19,huroin,heroin,False,False,False,True
20,hheroin,heroin,False,False,True,True
21,heroriin,heroin,False,False,True,True
22,herion,heroin,heroin,True,False,True
23,heron,heroin,False,False,False,False
24,herroin,heroin,False,False,False,True
25,herion,heroin,heroin,True,False,True
26,herroon,heroin,False,False,False,False
27,heryon,heroin,False,False,False,False
28,herrin,heroin,False,False,False,False
29,herryn,heroin,False,False,False,False
30,heroone,heroin,False,False,False,True
31,black_tar,heroin,False,False,True,True
32,smack,heroin,False,False,False,True
33,fentanyl,heroin,fentanyl,False,True,False
34,heroin,heroin,heroin,True,True,True
35,hydromorphone,heroin,hydromorphone,False,False,False
36,levorphanol,heroin,levorphanol,False,False,False
37,methadone,heroin,methadone,False,True,True
38,morphine,heroin,morphine,False,False,False
39,oxycodone,heroin,oxycodone,False,False,False
40,diamorphine,heroin,heroin,True,True,True
41,heron,heroin,False,False,False,False
42,smack,heroin,False,False,False,True
43,skag,heroin,False,False,False,True
44,gear,heroin,False,False,False,False
45,brown_sugar,heroin,False,False,False,False
46,black_tar,heroin,False,False,True,True
47,haeron,heroin,False,False,False,False
48,heroinum,heroin,False,False,True,True
49,smack,heroin,False,False,False,True
50,black_tar,heroin,False,False,True,True
51,diacetylmorphine,heroin,heroin,True,True,True
52,junkie,heroin,heroin,False,True,True
53,diacetylmorphine,heroin,heroin,True,True,True
54,morphine,heroin,morphine,False,False,False
55,street_drug_addicts,heroin,False,False,False,False
56,illicit_drug_users,heroin,False,False,False,False
57,junkies,heroin,heroin,False,False,False
58,addicts,heroin,False,False,True,False
59,substance_abusers,heroin,False,False,False,False
60,diamorphine,heroin,heroin,True,True,True
61,orient,heroin,False,False,False,False
62,skoll,heroin,False,False,False,False
63,wolfsbane,heroin,False,False,False,Error
64,brown_sugar,heroin,False,False,False,False
65,dope,heroin,False,False,False,True
66,smack,heroin,False,False,False,True
67,junk,heroin,False,False,False,False
68,horse,heroin,False,False,False,False
69,dragon,heroin,False,False,False,False
70,black_tar,heroin,False,False,True,True
71,smack,heroin,False,False,False,True
72,junk,heroin,False,False,False,False
73,brown_sugar,heroin,False,False,False,False
74,horse,heroin,False,False,False,False
75,China_white,heroin,filgrastim,False,True,True
76,morphone,heroin,morphine,False,False,False
77,morphiate,heroin,False,False,False,False
78,smack,heroin,False,False,False,True
79,horse,heroin,False,False,False,False
80,smack,heroin,False,False,False,True
81,morphin,heroin,morphine,False,Error,False
82,acetomorphine,heroin,False,False,True,False
83,Acetone,heroin,False,False,False,False
84,Cathinones,heroin,cathinone,False,False,False
85,Chloroform,heroin,False,False,False,True
86,Codeine,heroin,codeine,False,False,False
87,Ethylmorphine,heroin,ethylmorphine,False,False,False
88,Morphine,heroin,morphine,False,False,False
89,phenomorphine,heroin,False,False,False,False
90,morphine_diacetate,heroin,False,False,True,True
91,acetyldihydrocodeine,heroin,False,False,False,False
92,acetylcodeine,heroin,heroin,False,True,True
93,codeine,heroin,codeine,False,False,False
94,heroin,heroin,heroin,True,True,True
95,hydrocodone,heroin,hydrocodone,False,False,False
96,hydromorphone,heroin,hydromorphone,False,False,False
97,levorphanol,heroin,levorphanol,False,False,False
98,meperidine,heroin,pethidine,False,False,False
99,methadone,heroin,methadone,False,True,True
100,morphine,heroin,morphine,False,False,False
101,oxycodone,heroin,oxycodone,False,False,False
102,oxymorphone,heroin,oxymorphone,False,False,False
103,propoxyphene,heroin,dextropropoxyphene,False,False,False
104,tar_heroin,heroin,False,True,True,True
105,heroin_substitute,heroin,False,True,True,True
106,heroïne,heroin,False,False,True,True
107,heroyna,heroin,False,False,False,True
108,heroinė,heroin,False,False,False,Error
109,morphine,heroin,morphine,False,False,False
110,opium,heroin,opium,False,True,True
111,smack,heroin,False,False,False,True
112,brown_sugar,heroin,False,False,False,False
113,China_white,heroin,filgrastim,False,True,True
114,chiva,heroin,False,False,True,True
115,dragon,heroin,False,False,False,False
116,black_tar,heroin,False,False,True,True
117,heron,heroin,False,False,False,False
118,herroin,heroin,False,False,False,True
119,heroinne,heroin,False,False,False,True
120,heroinum,heroin,False,False,True,True
121,reoin,heroin,False,False,False,False
122,heroinne,heroin,False,False,False,True
123,horse,heroin,False,False,False,False
124,smack,heroin,False,False,False,True
125,smack,heroin,False,False,False,True
126,junk,heroin,False,False,False,False
127,smack,heroin,False,False,False,True
128,brown_sugar,heroin,False,False,False,False
129,skag,heroin,False,False,False,True
130,skunk,heroin,False,False,False,False
131,gear,heroin,False,False,False,False
132,beans,heroin,False,False,False,False
133,junk,heroin,False,False,False,False
134,smack,heroin,False,False,False,True
135,dope,heroin,False,False,False,True
136,China_white,heroin,filgrastim,False,True,True
137,horse,heroin,False,False,False,False
138,poison,heroin,False,False,False,False
139,dope,heroin,False,False,False,True
140,smack,heroin,False,False,False,True
141,junk,heroin,False,False,False,False
142,horse,heroin,False,False,False,False
143,brown_sugar,heroin,False,False,False,False
144,skag,heroin,False,False,False,True
145,China_white,heroin,filgrastim,False,True,True
146,smack,heroin,False,False,False,True
147,junk,heroin,False,False,False,False
148,brown_sugar,heroin,False,False,False,False
149,China_white,heroin,filgrastim,False,True,True
150,dragon,heroin,False,False,False,False
151,black_tar,heroin,False,False,True,True
152,diamorphine,heroin,heroin,True,True,True
153,"3-methyl-6-oxo-7-phenyl-1,2,3,4-tetrahydroisoquinoline",heroin,False,False,False,False
154,white_horse,heroin,filgrastim,False,False,False
155,China_white,heroin,filgrastim,False,True,True
156,big_H,heroin,False,False,False,False
157,black_tar,heroin,False,False,True,True
158,smack,heroin,False,False,False,True
159,junk,heroin,False,False,False,False
160,brown_sugar,heroin,False,False,False,False
161,skag,heroin,False,False,False,True
162,dragon/chasing_the_dragon,heroin,False,False,True,True
163,black_tar,heroin,False,False,True,True
164,smack,heroin,False,False,False,True
165,junkie,heroin,heroin,False,True,True
166,huron,heroin,False,False,False,False
167,heroinum,heroin,False,False,True,True
168,hirion,heroin,False,False,False,True
169,narcan,heroin,naloxone,False,False,False
170,hydromorphone,heroin,hydromorphone,False,False,False
171,morphine,heroin,morphine,False,False,False
172,codeine,heroin,codeine,False,False,False
173,heroin,heroin,heroin,True,True,True
174,diaethylmorphine,heroin,False,False,Error,Error
175,diamorphine,heroin,heroin,True,True,True
176,smack,heroin,False,False,False,True
177,junk,heroin,False,False,False,False
178,gear,heroin,False,False,False,False
179,skag,heroin,False,False,False,True
180,horse,heroin,False,False,False,False
181,brown_sugar,heroin,False,False,False,False
182,dragon,heroin,False,False,False,False
183,smack,heroin,False,False,False,True
184,junk,heroin,False,False,False,False
185,brown_sugar,heroin,False,False,False,False
186,dope,heroin,False,False,False,True
187,horse,heroin,False,False,False,False
188,dragon,heroin,False,False,False,False
189,poison,heroin,False,False,False,False
190,elf,heroin,False,False,False,False
191,tail,heroin,False,False,False,False
192,snow_white,heroin,False,False,False,False
193,smack,heroin,False,False,False,True
194,heron,heroin,False,False,False,False
195,herine,heroin,False,False,False,True
196,heronin,heroin,False,False,True,True
197,heroinine,heroin,False,False,True,False
198,morphone,heroin,morphine,False,False,False
199,morphinan,heroin,morphine,False,False,False
200,ethylmorphine,heroin,ethylmorphine,False,False,False
201,smack,heroin,False,False,False,True
202,brown_sugar,heroin,False,False,False,False
203,China_white,heroin,filgrastim,False,True,True
204,dragon,heroin,False,False,False,False
205,white_horse,heroin,filgrastim,False,False,False
206,hearoind,heroin,False,False,False,Error
207,zeroin,heroin,False,False,False,False
208,heroid,heroin,False,False,True,True
209,horoin,heroin,False,False,False,True
210,heroone,heroin,False,False,False,True
211,horner,heroin,False,False,False,False
212,heroinr,heroin,False,False,False,True
213,smack,heroin,False,False,False,True
214,brown_sugar,heroin,False,False,False,False
215,H,heroin,False,False,Error,False
216,skag,heroin,False,False,False,True
217,junk,heroin,False,False,False,False
218,dragon,heroin,False,False,False,False
219,horse,heroin,False,False,False,False
220,hydromorphone,heroin,hydromorphone,False,False,False
221,oxymorphone,heroin,oxymorphone,False,False,False
222,herroin,heroin,False,False,False,True
223,be_var,heroin,False,False,False,False
224,jeff,heroin,False,False,False,False
225,cherry_meth,heroin,False,False,False,False
226,liquid_death,heroin,False,False,False,False
227,morphineether,heroin,False,False,False,False
228,morphinid,heroin,False,False,False,False
229,opiates,heroin,False,False,False,True
230,opioids,heroin,oxycodone,False,True,False
231,smaze,heroin,False,False,False,False
232,zeroin,heroin,False,False,False,False
233,zircon,heroin,False,False,False,False
234,diamorphine,heroin,heroin,True,True,True
235,user,heroin,False,False,False,False
236,addict,heroin,False,False,True,False
237,abuser,heroin,False,False,False,False
238,diaphin,heroin,diphenhydramine,False,True,True
239,dionine,heroin,False,False,False,False
240,dolophine,heroin,methadone,False,False,True
241,eucodal,heroin,False,False,False,False
242,eukodal,heroin,oxycodone,False,False,False
243,STP,heroin,"4-methyl-2,5-dimethoxyamphetamine",False,False,False
244,brown_sugar,heroin,False,False,False,False
245,smack,heroin,False,False,False,True
246,skag,heroin,False,False,False,True
247,junk,heroin,False,False,False,False
248,black_tar,heroin,False,False,True,True
249,seroid,heroin,False,False,False,False
250,dermoid,heroin,False,False,False,False
251,myroid,heroin,False,False,False,False
252,leukoid,heroin,False,False,False,False
253,nevroid,heroin,False,False,False,False
254,diacetylmorphine,heroin,heroin,True,True,True
255,morphinediacetate,heroin,False,False,True,True
256,herione,heroin,False,False,True,True
257,heroyn,heroin,False,False,False,True
258,heroiene,heroin,False,False,False,True
259,heroiun,heroin,False,False,False,True
260,heroyn,heroin,False,False,False,True
261,heroyne,heroin,False,False,False,True
262,rate,heroin,False,False,False,False
263,smack,heroin,False,False,False,True
264,junk,heroin,False,False,False,False
265,tar,heroin,False,False,False,True
266,dragon,heroin,False,False,False,False
267,brown_sugar,heroin,False,False,False,False
268,china_white,heroin,filgrastim,False,True,True
269,diamorphine,heroin,heroin,True,True,True
270,morphium,heroin,morphine,False,False,False
271,opio,heroin,False,False,False,True
272,stupor,heroin,False,False,False,False
273,insensible,heroin,False,False,False,False
274,anodyne,heroin,False,False,False,False
275,narcotic,heroin,False,False,False,True
276,zeroin,heroin,False,False,False,False
277,zeron,heroin,False,False,False,False
278,zerone,heroin,False,False,False,False
279,zeronia,heroin,False,False,False,False
280,zeronine,heroin,False,False,False,False
281,zeronol,heroin,False,False,False,False
282,zeronole,heroin,False,False,False,Error
283,brown_sugar,heroin,False,False,False,False
284,smack,heroin,False,False,False,True
285,herion,heroin,heroin,True,False,True
286,herione,heroin,False,False,True,True
287,heroinum,heroin,False,False,True,True
288,heroinus,heroin,False,False,True,True
289,diacetylmorphine,heroin,heroin,True,True,True
290,morphinan,heroin,morphine,False,False,False
291,morphine,heroin,morphine,False,False,False
292,codeine,heroin,codeine,False,False,False
293,diamorphine,heroin,heroin,True,True,True
294,smack,heroin,False,False,False,True
295,brown_sugar_,heroin,False,False,False,True
296,gear,heroin,False,False,False,False
297,mud,heroin,False,False,False,False
298,dragon,heroin,False,False,False,False
299,junk,heroin,False,False,False,False
300,diamorphine,heroin,heroin,True,True,True
301,diacetylmorphine,heroin,heroin,True,True,True
302,morphinediacetate,heroin,False,False,True,True
303,diamorphene,heroin,heroin,True,True,True
304,smack,heroin,False,False,False,True
305,brown_sugar,heroin,False,False,False,False
306,China_white,heroin,filgrastim,False,True,True
307,chiva,heroin,False,False,True,True
308,dragon,heroin,False,False,False,False
309,fur,heroin,False,False,False,False
310,diamorphine,heroin,heroin,True,True,True
311,morphiun,heroin,False,False,False,True
312,pharmaceuthecal,heroin,False,False,Error,Error
313,pethidine,heroin,pethidine,False,False,False
314,propoxyphene,heroin,dextropropoxyphene,False,False,False
315,worked_up,heroin,False,False,False,False
316,strung_out,heroin,False,False,False,False
317,tweak,heroin,False,False,False,False
318,dank,heroin,False,False,False,False
319,dope,heroin,False,False,False,True
320,junk,heroin,False,False,False,False
321,smack,heroin,False,False,False,True
322,white_horse,heroin,filgrastim,False,False,False
323,heron,heroin,False,False,False,False
324,rhinestone,heroin,False,False,False,False
325,diamorphine,heroin,heroin,True,True,True
326,morphium,heroin,morphine,False,False,False
327,smack,heroin,False,False,False,True
328,brown_sugar,heroin,False,False,False,False
329,gear,heroin,False,False,False,False
330,dope,heroin,False,False,False,True
331,junk,heroin,False,False,False,False
332,skag,heroin,False,False,False,True
333,horse,heroin,False,False,False,False
334,smack,heroin,False,False,False,True
335,junk,heroin,False,False,False,False
336,horse,heroin,False,False,False,False
337,brown_sugar,heroin,False,False,False,False
338,China_white,heroin,filgrastim,False,True,True
339,dragon,heroin,False,False,False,False
340,build,heroin,False,False,False,False
341,brown_sugar,heroin,False,False,False,False
342,China_white,heroin,filgrastim,False,True,True
343,black_tar,heroin,False,False,True,True
344,smack,heroin,False,False,False,True
345,junk,heroin,False,False,False,False
346,horse,heroin,False,False,False,False
347,smack,heroin,False,False,False,True
348,junk,heroin,False,False,False,False
349,brown_sugar,heroin,False,False,False,False
350,dope,heroin,False,False,False,True
351,dragon,heroin,False,False,False,False
352,hay,heroin,False,False,False,False
353,smack,heroin,False,False,False,True
354,junk,heroin,False,False,False,False
355,heroein,heroin,False,False,False,True
356,herion,heroin,heroin,True,False,True
357,heroyn,heroin,False,False,False,True
358,heroyne,heroin,False,False,False,True
359,heroen,heroin,False,False,False,True
360,heroe,heroin,False,False,False,False
361,heroinum,heroin,False,False,True,True
362,diamorphine,heroin,heroin,True,True,True
363,serenity,heroin,False,False,False,False
364,poison,heroin,False,False,False,False
365,death,heroin,False,False,False,False
366,diamorphine,heroin,heroin,True,True,True
367,brown_sugar,heroin,False,False,False,False
368,skag,heroin,False,False,False,True
369,smack,heroin,False,False,False,True
370,acetomorphine,heroin,False,False,True,False
371,smack,heroin,False,False,False,True
372,dope,heroin,False,False,False,True
373,brown_sugar,heroin,False,False,False,False
374,China_white,heroin,filgrastim,False,True,True
375,horse,heroin,False,False,False,False
376,dragon,heroin,False,False,False,False
377,junk,heroin,False,False,False,False
378,morphinan,heroin,morphine,False,False,False
379,my_gets,heroin,False,False,False,False
380,opiate,heroin,False,False,False,True
381,paregoric,heroin,morphine,False,False,False
382,paregoric_tincture,heroin,False,False,False,False
383,laudanum,heroin,morphine,False,False,False
384,tincture_of_opium,heroin,False,False,False,False
385,morphinone,heroin,False,False,False,False
386,acetylmethadol,heroin,False,False,False,False
387,buprenorphine,heroin,buprenorphine,False,True,False
388,levorphanol,heroin,levorphanol,False,False,False
389,meperidine,heroin,pethidine,False,False,False
390,methadone,heroin,methadone,False,True,True
391,naltrexone,heroin,naltrexone,False,True,True
392,naloxone,heroin,naloxone,False,False,True
393,brown_sugar,heroin,False,False,False,False
394,dragon,heroin,False,False,False,False
395,girl,heroin,False,False,False,False
396,shit,heroin,False,False,False,False
397,dope,heroin,False,False,False,True
398,smack,heroin,False,False,False,True
399,junk,heroin,False,False,False,False
400,herion,heroin,heroin,True,False,True
401,herione,heroin,False,False,True,True
402,heroines,heroin,False,False,False,True
403,heroics,heroin,False,False,False,False
404,smack,heroin,False,False,False,True
405,h,heroin,False,False,Error,False
406,brown_sugar,heroin,False,False,False,False
407,china_white,heroin,filgrastim,False,True,True
408,dragon,heroin,False,False,False,False
409,dynamite,heroin,False,False,False,False
410,footballer's_friend,heroin,False,False,False,False
411,morphinan,heroin,morphine,False,False,False
412,opioid,heroin,False,False,True,True
413,analgesic,heroin,False,False,False,False
414,trumpet,heroin,False,False,False,False
415,smack,heroin,False,False,False,True
416,dope,heroin,False,False,False,True
417,junk,heroin,False,False,False,False
418,horse,heroin,False,False,False,False
419,Brown_sugar,heroin,False,False,False,False
420,China_white,heroin,filgrastim,False,True,True
421,Dope,heroin,False,False,False,True
422,Horse,heroin,False,False,False,False
423,Junk,heroin,False,False,False,False
424,Skag,heroin,False,False,False,True
425,Smack,heroin,False,False,False,True
426,heroen,heroin,False,False,False,True
427,heroein,heroin,False,False,False,True
428,heroyn,heroin,False,False,False,True
429,heroijn,heroin,False,False,True,True
430,junkie,heroin,heroin,False,True,True
431,smack,heroin,False,False,False,True
432,speedball,heroin,False,False,True,True
433,smack,heroin,False,False,False,True
434,brown_sugar,heroin,False,False,False,False
435,gear,heroin,False,False,False,False
436,horse,heroin,False,False,False,False
437,junk,heroin,False,False,False,False
438,skag,heroin,False,False,False,True
439,white,heroin,filgrastim,False,False,False
440,morphine,heroin,morphine,False,False,False
441,heroin_hydrochloride,heroin,False,True,True,True
442,dromoran,heroin,False,False,False,False
443,eperidine,heroin,False,False,False,False
444,orphine,heroin,morphine,False,False,False
445,paregoric,heroin,morphine,False,False,False
446,sophoraine,heroin,False,False,Error,Error
447,heroin_addiction,heroin,False,True,True,True
448,heroin_use,heroin,False,True,True,True
449,smack,heroin,False,False,False,True
450,junk,heroin,False,False,False,False
451,brown_sugar,heroin,False,False,False,False
452,skag,heroin,False,False,False,True
453,horse,heroin,False,False,False,False
454,dragon,heroin,False,False,False,False
455,black_tar,heroin,False,False,True,True
456,morphine_diacetate,heroin,False,False,True,True
457,heroyne,heroin,False,False,False,True
458,heroyne,heroin,False,False,False,True
459,harowin,heroin,False,False,False,True
460,hirowin,heroin,False,False,True,True
461,hieroin,heroin,False,False,False,True
462,heroiin,heroin,heroin,True,True,True
463,zeroin,heroin,False,False,False,False
464,zeronn,heroin,False,False,False,False
465,heroid,heroin,False,False,True,True
466,heroizine,heroin,False,False,False,Error
467,hieron,heroin,False,False,False,True
468,zeronine,heroin,False,False,False,False
469,heron,heroin,False,False,False,False
470,heroical,heroin,False,False,False,False
471,heroinum,heroin,False,False,True,True
472,heroize,heroin,False,False,False,False
473,herolike,heroin,False,False,False,False
474,heroum,heroin,False,False,False,False
475,smack,heroin,False,False,False,True
476,junk,heroin,False,False,False,False
477,brown_sugar,heroin,False,False,False,False
478,number_3,heroin,False,False,False,False
479,China_white,heroin,filgrastim,False,True,True
480,dragon,heroin,False,False,False,False
481,Persian,heroin,False,False,False,False
482,diamorphine,heroin,heroin,True,True,True
483,hydromorphone,heroin,hydromorphone,False,False,False
484,morphine,heroin,morphine,False,False,False
485,codeine,heroin,codeine,False,False,False
486,haeronin,heroin,False,False,Error,Error
487,hearoin,heroin,False,False,False,True
488,la_morfin,heroin,False,False,False,False
489,le_heroin,heroin,False,True,True,True
490,l'heroine,heroin,False,False,True,True
491,la_droga,heroin,False,False,False,False
492,la_sustancia,heroin,False,False,False,False
493,el_estupefaciente,heroin,False,False,False,False
494,morphine_user,heroin,False,False,False,False
495,smack,heroin,False,False,False,True
496,junk,heroin,False,False,False,False
497,horse,heroin,False,False,False,False
498,brown_sugar,heroin,False,False,False,False
499,China_white,heroin,filgrastim,False,True,True
500,smack,heroin,False,False,False,True
501,brown_sugar,heroin,False,False,False,False
502,China_white,heroin,filgrastim,False,True,True
503,mojo,heroin,False,False,False,False
504,Peru,heroin,False,False,False,False
505,black_tar,heroin,False,False,True,True
506,la_droga,heroin,False,False,False,False
507,thedrug,heroin,False,False,False,False
508,smack,heroin,False,False,False,True
509,junk,heroin,False,False,False,False
510,horse,heroin,False,False,False,False
511,brown_sugar,heroin,False,False,False,False
512,China_white,heroin,filgrastim,False,True,True
513,bliss,heroin,False,False,False,False
514,dragon,heroin,False,False,False,False
515,H,heroin,False,False,Error,False
516,skag,heroin,False,False,False,True
517,gear,heroin,False,False,False,False
518,Rudy,heroin,False,False,False,False
519,black_tar,heroin,False,False,True,True
520,smack,heroin,False,False,False,True
521,junk,heroin,False,False,False,False
522,heroin_user,heroin,False,True,True,True
523,heroin_abuser,heroin,False,True,True,True
524,smack,heroin,False,False,False,True
525,junk,heroin,False,False,False,False
526,heroin_abuse,heroin,False,True,True,True
527,heroin_dependence,heroin,False,True,True,True
528,heroin_addiction,heroin,False,True,True,True
529,heroin_overdoses,heroin,False,True,True,True
530,heroin_use,heroin,False,True,True,True
531,diamorphine,heroin,heroin,True,True,True
532,herion,heroin,heroin,True,False,True
533,heroinum,heroin,False,False,True,True
534,heroinum,heroin,False,False,True,True
535,smack,heroin,False,False,False,True
536,boy,heroin,False,False,False,False
537,dragon,heroin,False,False,False,False
538,poison,heroin,False,False,False,False
539,medicine,heroin,False,False,Error,False
540,héroine,heroin,False,False,False,True
541,dihydrocodeinone,heroin,hydrocodone,False,False,False
542,heron,heroin,False,False,False,False
543,harrow,heroin,False,False,False,False
544,hirundo,heroin,False,False,False,False
545,hysteron_proteron,heroin,False,False,False,False
546,junk,heroin,False,False,False,False
547,John,heroin,False,False,False,False
548,smack,heroin,False,False,False,True
549,dope,heroin,False,False,False,True
550,horse,heroin,False,False,False,False
551,dragon,heroin,False,False,False,False
552,David,heroin,False,False,False,False
553,chain,heroin,False,False,False,False
554,diacetylmorphine,heroin,heroin,True,True,True
555,diacetylmorphine,heroin,heroin,True,True,True
556,diamorphine,heroin,heroin,True,True,True
557,morphine_diacetate,heroin,False,False,True,True
558,heorin,heroin,False,False,True,True
559,haeron,heroin,False,False,False,False
560,heroin,heroin,heroin,True,True,True
561,morphine,heroin,morphine,False,False,False
562,oxycodone,heroin,oxycodone,False,False,False
563,hydrocodone,heroin,hydrocodone,False,False,False
564,codeine,heroin,codeine,False,False,False
565,fentanyl,heroin,fentanyl,False,True,False
566,tramadol,heroin,tramadol,False,False,False
567,opioid,heroin,False,False,True,True
568,smack,heroin,False,False,False,True
569,junk,heroin,False,False,False,False
570,dragon,heroin,False,False,False,False
571,brown_sugar,heroin,False,False,False,False
572,china_white,heroin,filgrastim,False,True,True
573,smack,heroin,False,False,False,True
574,junk,heroin,False,False,False,False
575,morphinate,heroin,morphine,False,True,True
576,morphinan,heroin,morphine,False,False,False
577,diamorphine,heroin,heroin,True,True,True
578,Diamorphine_hydrochloride,heroin,False,True,True,True
579,heroin_user,heroin,False,True,True,True
580,diamorphine,heroin,heroin,True,True,True
581,appal,heroin,False,False,False,False
582,devil_drug,heroin,False,False,False,True
583,hard_drug,heroin,heroin,False,False,True
584,illegal_drug,heroin,medical_cannabis,False,False,False
585,narcotic,heroin,False,False,False,True
586,smack,heroin,False,False,False,True
587,brown_sugar,heroin,False,False,False,False
588,skag,heroin,False,False,False,True
589,tar,heroin,False,False,False,True
590,china_white,heroin,filgrastim,False,True,True
591,celestial_tea,heroin,False,False,False,False
592,smack,heroin,False,False,False,True
